%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1777733662474055051,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662478105068,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662482088088,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662532538890,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662582762956,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662632802963,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662682703018,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662710345983,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662760739088,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662811108112,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662861318111,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662911618947,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662961675882,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662978368043,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662990703105,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663002194881,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663010005950,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663018300056,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663022423028,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663026431083,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663030308008,0.4,0.0,0.0,0.0,0.0,-0.00428683329374
1777733663034132957,0.4,0.0,0.0,0.0,0.0,-0.0288779713213
1777733663042121887,0.4,0.0,0.0,0.0,0.0,-0.0411735396832
1777733663092654943,0.4,0.0,0.0,0.0,0.0,-0.0411735396832
1777733663142287015,0.4,0.0,0.0,0.0,0.0,-0.0780602447689
1777733663146445035,0.4,0.0,0.0,0.0,0.0,-0.114946952462
1777733663150312900,0.4,0.0,0.0,0.0,0.0,-0.139538083971
1777733663158092975,0.4,0.0,0.0,0.0,0.0,-0.16412922591
1777733663162240028,0.4,0.0,0.0,0.0,0.0,-0.176424786448
1777733663212415933,0.4,0.0,0.0,0.0,0.0,-0.176424786448
1777733663226691961,0.4,0.0,0.0,0.0,0.0,-0.201015928388
1777733663277009010,0.4,0.0,0.0,0.0,0.0,-0.201015928388
1777733663286113977,0.4,0.0,0.0,0.0,0.0,-0.287084904313
1777733663302514076,0.4,0.0,0.0,0.0,0.0,-0.311676046252
1777733663327011108,0.4,0.0,0.0,0.0,0.0,-0.323971617222
1777733663377136945,0.4,0.0,0.0,0.0,0.0,-0.323971617222
1777733663427126884,0.4,0.0,0.0,0.0,0.0,-0.323971617222
1777733663434272050,0.4,0.0,0.0,0.0,0.0,-0.348562738299
1777733663462451934,0.4,0.0,0.0,0.0,0.0,-0.360858309269
1777733663512569904,0.4,0.0,0.0,0.0,0.0,-0.360858309269
1777733663562699079,0.4,0.0,0.0,0.0,0.0,-0.360858309269
1777733663612831115,0.4,0.0,0.0,0.0,0.0,-0.360858309269
1777733663662868022,0.4,0.0,0.0,0.0,0.0,-0.360858309269
1777733663712940931,0.4,0.0,0.0,0.0,0.0,-0.360858309269
1777733663738523960,0.4,0.0,0.0,0.0,0.0,-0.311676046252
1777733663742396116,0.4,0.0,0.0,0.0,0.0,-0.287084904313
1777733663746014118,0.4,0.0,0.0,0.0,0.0,-0.250198191404
1777733663749646902,0.4,0.0,0.0,0.0,0.0,-0.237902641296
1777733663753724098,0.4,0.0,0.0,0.0,0.0,-0.213311499357
1777733663757735013,0.4,0.0,0.0,0.0,0.0,-0.176424786448
1777733663761812925,0.4,0.0,0.0,0.0,0.0,-0.139538083971
1777733663765708923,0.4,0.0,0.0,0.0,0.0,-0.114946952462
1777733663769750118,0.4,0.0,0.0,0.0,0.0,-0.102651381493
1777733663773894071,0.4,0.0,0.0,0.0,0.0,-0.0657646737993
1777733663777781009,0.4,0.0,0.0,0.0,0.0,-0.0411735396832
1777733663798443078,0.4,0.0,0.0,0.0,0.0,-0.0288779713213
1777733663802128076,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663806037902,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663809864997,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663822411060,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663826138019,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663830056905,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663880558967,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663930727005,0.4,0.0,0.0,0.0,0.0,-0.0
1777733663980838060,0.4,0.0,0.0,0.0,0.0,-0.0
1777733664031174898,0.4,0.0,0.0,0.0,0.0,-0.0
1777733664062406063,0.4,0.0,0.0,0.0,0.0,-0.0
1777733664112698078,0.4,0.0,0.0,0.0,0.0,-0.0
